Fighter: Dalcha Lungiambula         Glicko2: 1860.6
Fighter: Darko Stošić               Glicko2: 1860.55
Fighter: Lucas Martins              Glicko2: 1860.32
Fighter: Matt Schnell               Glicko2: 1859.86
Fighter: Yancy Medeiros             Glicko2: 1859.66
Fighter: Matt Hamill                Glicko2: 1859.49
Fighter: Ali Bagautinov             Glicko2: 1859.48
Fighter: Brent Weedman              Glicko2: 1859.34
Fighter: Dennis Bermudez            Glicko2: 1859.33
Fighter: Dave Herman (fighter)      Glicko2: 1858.7
Fighter: Will Ribeiro               Glicko2: 1858.65
Fighter: Nick Ring                  Glicko2: 1858.1
Fighter: Mike Swick                 Glicko2: 1857.99
Fighter: Joe Solecki                Glicko2: 1857.82
Fighter: Juan Espino                Glicko2: 1857.77
Fighter: Jason Saggo                Glicko2: 1856.63
Fighter: Justin Wilcox (martial arts) Glicko2: 1856.51
Fighter: Andre Galvao               Glicko2: 1856.49
Fighter: André Galvão               Glicko2: 1856.49
Fighter: Jimy Hettes                Glicko2: 1856.41
Fighter: Alan Jouban                Glicko2: 1856.36
Fighter: George Sotiropoulos        Glicko2: 1856.26
Fighter: Adam Wieczorek             Glicko2: 1856.19
Fighter: Nasrat Haqparast           Glicko2: 1856.04
Fighter: Timothy Johnson (fighter)  Glicko2: 1855.37
Fighter: C.B. Dollaway              Glicko2: 1855.14
Fighter: CB Dollaway                Glicko2: 1855.14
Fighter: Yang Dongi                 Glicko2: 1855.06
Fighter: Phil Hawes                 Glicko2: 1855.02
Fighter: Gerald Harris (fighter)    Glicko2: 1854.97
Fighter: Jonathan Martinez          Glicko2: 1854.86
Fighter: Brandon Halsey             Glicko2: 1854.83
Fighter: Pablo Garza (fighter)      Glicko2: 1854.13
Fighter: Duško Todorović            Glicko2: 1853.63
Fighter: Scott Holtzman             Glicko2: 1853.41
Fighter: Roberto Sanchez (fighter)  Glicko2: 1853.36
Fighter: Chance Rencountre          Glicko2: 1853.26
Fighter: Akira Kikuchi              Glicko2: 1853.26
Fighter: Clay Guida                 Glicko2: 1852.78
Fighter: Matt Veach                 Glicko2: 1852.73
Fighter: Andrei Arlovski            Glicko2: 1852.73
Fighter: Brad Katona                Glicko2: 1852.47
Fighter: Joe Doerksen               Glicko2: 1852.28
Fighter: Dan Hardy                  Glicko2: 1851.68
Fighter: Alejandro Pérez (fighter)  Glicko2: 1851.23
Fighter: Brian Stann                Glicko2: 1851.05
Fighter: Jason Fischer (fighter)    Glicko2: 1850.22
